"title","book_size","isbn","price","release_date","author","illustrator","publisher"
"白き煌王姫と異能魔導小隊＜チート・フォース＞１","A6","978-4-906866-54-0",691,"2013-12-25","桐生恭丞","松之鐘流","オーバーラップ文庫"
"秋葉原ダンジョン冒険奇譚１","A6","978-4-906866-53-3",691,"2013-12-25","中野くみん","桑島黎音","オーバーラップ文庫"
"きんいろカルテット！①","A6","978-4-906866-52-6",691,"2013-12-25","遊歩新夢","DSマイル","オーバーラップ文庫"
"聖剣と魔竜の世界３","A6","978-4-906866-62-5",691,"2014-01-25","サイトウケンジ","黒銀","オーバーラップ文庫"
"戦え無限術師 1　～火花を散らす1ポイントの命たち～","A6","978-4-86554-491-6",680,"2019-05-25","カロリーゼロ","ふーろ","オーバーラップ文庫"
"追放されたS級鑑定士は最強のギルドを創る 1","A6","978-4-86554-492-3",745,"2019-05-25","瀬戸夏樹","榎丸さく","オーバーラップ文庫"
"サラリーマン流 高貴な幼女の護りかた 1","A6","978-4-86554-393-3",745,"2018-10-25","逆波","Bou","オーバーラップ文庫"
"ハズレ枠の【状態異常スキル】で最強になった俺がすべてを蹂躙するまで 1","A6","978-4-86554-372-8",777,"2018-07-25","篠崎芳","KWKM","オーバーラップ文庫"
"異世界混浴物語　１　お風呂場の勇者","A6","978-4-86554-038-3",777,"2015-03-25","日々花長春","はぎやまさかげ","オーバーラップ文庫"
"隣に住む教え子と結婚したいのですが、どうしたらOKがもらえますか？ 1","A6","978-4-86554-471-8",777,"2019-04-25","遠藤遼","笹森トモエ","オーバーラップ文庫"
"暴食妃の剣Ⅰ","A6","978-4-86554-472-5",702,"2019-04-25","猫子","SWAV","オーバーラップ文庫"
"勇者の剣の〈贋作〉をつかまされた男の話 1","A6","978-4-86554-473-2",702,"2019-04-25","書店ゾンビ","赤ミソ","オーバーラップ文庫"
"王女殿下はお怒りのようです 2.精霊王の来訪","A6","978-4-86554-474-9",745,"2019-04-25","八ツ橋皓","凪白みと","オーバーラップ文庫"
"虐殺スペック赤三月さんと低スペック九木野瀬くん　plan.2","A6","978-4-86554-475-6",680,"2019-04-25","蓮見景夏","こーやふ","オーバーラップ文庫"
